player,tm,season,pos,g,mp,gs,fga,x3pa,fta,trb,astpercent,stlpercent,blkpercent,distance,pred_class,prob1,prob2,prob3,prob4,prob5,prob6,prob7,player_season,uncertainty
Natalie Achonwa,MIN,2021,F,21,253,1,-1.1098892304435009,-1.4030031167557464,0.556421357930075,0.06031380291433986,-0.03473269498966816,0.7993837297940136,0.07144478436568606,-0.9100413754916243,6,0.052220919192405166,0.015295314009075437,0.0017525946209069635,0.43751925938367386,6.256410811887169e-7,0.484126235302892,0.00908505184996452,Natalie Achonwa_2021,0.515873764697108
Bella Alarie,DAL,2021,C-F,31,407,11,-2.0336219992212183,-1.3747287645937192,-0.7982916869641637,1.0568027206295225,-1.141983038620032,0.6617587672524562,1.9150652259953118,-2.090410402706091,1,0.9999788135185412,3.764996319801734e-37,5.261795848620694e-25,5.466203617003292e-9,1.3753098504395349e-14,2.1181015241781632e-05,3.159253403788311e-33,Bella Alarie_2021,2.1186481458768114e-5
Lindsay Allen,IND,2021,G,32,571,8,-0.7403961229324135,-0.24375467811263402,-0.4049878997368041,-1.1105606754009998,1.5892344756681989,-0.4392409330800017,-0.8162243171596891,0.13146070734466994,3,1.076493873663561e-20,2.666751228462135e-11,0.9669032298167751,0.0016538342858000317,7.902638029295675e-7,4.34504446878655e-17,0.03144214560695407,Lindsay Allen_2021,0.03309677018322488
Rebecca Allen,NYL,2021,G,25,615,13,0.09096336896753161,1.4244320994469666,-0.579789582948964,-0.3382817641717331,-0.9205329698939593,1.9003834301264722,1.6419362716798114,1.311829734559137,4,2.650978224539304e-68,2.452668672412105e-15,2.9513488933655724e-7,0.9905372058225775,8.752325368507917e-11,0.009462498954953054,5.3986687439829185e-14,Rebecca Allen_2021,0.009462794177422462
Ariel Atkins,WAS,2021,G,30,918,30,1.153256053061907,1.4244320994469666,0.9934255659604747,-1.0358240065723612,0.11290068416104694,1.2122586174186858,-0.06511969279206394,0.94151788288401,3,3.941428698274275e-62,2.7563979821038163e-4,0.7076088670334305,1.5169926124044883e-4,3.14464529355068e-5,0.01982140533862507,0.2721109421155586,Ariel Atkins_2021,0.2923911329665695
Rachel Banham,MIN,2021,G,27,341,0,0.5066431149175046,1.707175621067238,-1.3663971574036833,-0.9610873377437222,0.7157369823598009,-0.8521158207046736,-0.406530885686439,1.4044076974779185,7,3.3976350482622552e-78,0.07258422174780098,0.06690498612705004,1.247536711158148e-4,0.0029515642803369696,1.1517961563296799e-8,0.8574344626557344,Rachel Banham_2021,0.14256553734426558
Monique Billings,ATL,2021,F,31,740,9,-0.7173028037129707,-1.4312774689177736,0.4253200955209552,1.2561005041725593,-1.0312580042569957,0.937008692335571,1.5736540331009363,-1.4655091530043147,1,0.60975905594041,4.1587407322467995e-14,3.301934050933121e-18,0.0334797432985016,1.1752372231954644e-5,0.3567494483888135,1.2108761683762041e-15,Monique Billings_2021,0.39024094405959
Sue Bird,SEA,2021,G,30,832,30,-0.44018297307965565,1.3113346907988586,-1.2352958949945634,-1.0109117836294814,1.8598956707778433,-0.16399100799688723,-0.8845065557385641,1.7978640398827406,3,7.852908303233696e-69,3.79423382000348e-11,0.9856518424540032,0.0016517736446659528,1.7917425830768976e-10,2.1979758471074546e-21,0.012696383684213906,Sue Bird_2021,0.014348157545996831
DeWanna Bonner,CON,2021,F-G,32,1022,32,0.9916028185258066,0.6327502389102072,1.3430289323847948,0.5087338158861723,0.46968135044194226,0.38650884216934206,0.4128559772600613,0.31661663318223354,5,2.3129831852011837e-33,1.0393405233978193e-6,1.4718639398263736e-8,0.1692160102978343,0.7459985478095944,0.03290555389208381,0.05187883394132492,DeWanna Bonner_2021,0.2540014521904056
Crystal Bradford,ATL,2021,G,24,440,9,1.1763493722813503,1.1982372821507499,0.07571672909663554,0.43399714705753334,-0.1208521661609186,1.9003834301264722,0.20800926152343605,0.13146070734466994,4,1.8809520191588822e-54,0.09862237432747291,0.00254544368058988,0.8260915387113278,0.001418545648115086,0.002204444242275635,0.06911765339021889,Crystal Bradford_2021,0.1739084612886722
