player,tm,pos,g,mp,g_2,mp_2,fgpercent,distance,fga_2p,fga_0_3,fga_3_10,fga_10_16,fga_16_3p,fga_3p,fg_2p,fg_0_3,fg_3_10,fg_10_16,fg_16_3p,fg_3p,fg_2p_asst,fg_3p_asst,corner_3s_attempt,corner_3s_percent,link,season
Monique Billings,ATL,F,32,353,32,353,0.441,6.8,1,0.43,0.215,0.301,0.054,0,0.441,0.475,0.3,0.5,0.4,NA,0.707,NA,NA,NA,/wnba/players/b/billimo01w.html,2018
Imani McGee-Stafford,ATL,C,29,305,29,305,0.453,9.6,1,0.314,0.209,0.209,0.267,0,0.453,0.704,0.444,0.278,0.304,NA,0.718,NA,NA,NA,/wnba/players/b/boyetim01w.html,2018
Jessica Breland,ATL,F,34,899,34,899,0.428,11.7,1,0.259,0.134,0.214,0.393,0,0.428,0.467,0.359,0.387,0.447,NA,0.839,NA,NA,NA,/wnba/players/b/brelaje01w.html,2018
Damiris Dantas,ATL,F,19,255,19,255,0.433,12.9,0.784,0.206,0.216,0.134,0.227,0.216,0.487,0.65,0.381,0.462,0.455,0.238,0.838,1,0.095,0.5,/wnba/players/d/dantada01w.html,2018
Blake Dietrick,ATL,G,26,186,26,186,0.343,17.2,0.343,0.2,0.086,0.029,0.029,0.657,0.25,0.286,0.333,0,0,0.391,1,1,0.478,0.545,/wnba/players/d/dietrbl01w.html,2018
Adaora Elonu,ATL,F,1,1,1,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/e/elonuad01w.html,2018
Tiffany Hayes,ATL,G,31,897,31,897,0.441,11.8,0.673,0.354,0.175,0.075,0.07,0.327,0.5,0.648,0.329,0.367,0.321,0.321,0.378,0.714,0.168,0.273,/wnba/players/h/hayesti01w.html,2018
Angel McCoughtry,ATL,F-G,29,799,29,799,0.42,12.6,0.812,0.257,0.156,0.153,0.247,0.188,0.453,0.625,0.429,0.387,0.33,0.276,0.463,0.905,0.211,0.188,/wnba/players/m/mccouan01w.html,2018
Renee Montgomery,ATL,G,34,935,34,935,0.389,21.3,0.236,0.065,0.036,0.047,0.087,0.764,0.446,0.556,0.4,0.385,0.417,0.371,0.414,0.756,0.119,0.56,/wnba/players/m/montgre01w.html,2018
Alexis Prince,ATL,F,2,6,2,6,0.6,14.6,0.8,0,0.2,0.4,0.2,0.2,0.5,NA,1,0.5,0,1,0.5,1,0,NA,/wnba/players/p/princal01w.html,2018
Brittney Sykes,ATL,G,29,600,29,600,0.411,14.2,0.653,0.275,0.076,0.097,0.203,0.347,0.487,0.554,0.389,0.565,0.396,0.268,0.373,1,0.183,0.2,/wnba/players/s/sykesbr01w.html,2018
Elizabeth Williams,ATL,C-F,33,885,33,885,0.548,4.6,1,0.597,0.222,0.158,0.023,0,0.548,0.667,0.408,0.343,0.2,NA,0.76,NA,NA,NA,/wnba/players/w/williel01w.html,2018
Alaina Coates,CHI,C,32,364,32,364,0.568,3.6,1,0.757,0.135,0.068,0.041,0,0.568,0.571,0.5,0.6,0.667,NA,0.738,NA,NA,NA,/wnba/players/c/coateal01w.html,2018
Kahleah Copper,CHI,G-F,33,524,33,524,0.397,12.9,0.686,0.328,0.098,0.113,0.147,0.314,0.407,0.507,0.2,0.348,0.367,0.375,0.596,1,0.234,0.467,/wnba/players/c/coppeka01w.html,2018
Diamond DeShields,CHI,G,34,967,34,967,0.425,12.8,0.688,0.299,0.161,0.087,0.141,0.312,0.468,0.615,0.317,0.353,0.4,0.328,0.532,0.95,0.311,0.237,/wnba/players/d/deshidi01w.html,2018
