wnba_player,wnba_link,wnba_id,season,wnba_season,league,nba_player1,nba_season,distance,league2,pred_class,nba_player2,distance2,nba_player3,distance3,nba_player4,distance4,nba_player5,distance5,nba_link1,nba_id1,nba_link2,nba_id2,nba_link3,nba_id3,nba_link4,nba_id4,nba_link5,nba_id5
Natalie Achonwa,/wnba/players/a/achonna01w.html,achonna01w,2021,2021,WNBA,Trendon Watford,2022,0.13405349698599603,NBA,6,Jalen Smith,0.13995985780270548,P.J. Washington,0.18659100840473264,Killian Tillie,0.19531288543677597,James Johnson,0.23294129428885185,/players/w/watfotr01.html,watfotr01,/players/s/smithja04.html,smithja04,/players/w/washipj01.html,washipj01,/players/t/tilliki02.html,tilliki02,/players/j/johnsja01.html,johnsja01
Bella Alarie,/wnba/players/a/alaribe01w.html,alaribe01w,2021,2021,WNBA,Rudy Gobert,2022,1.7538255095368335e-5,NBA,1,Andre Drummond,2.4559275473954513e-5,Mason Plumlee,2.660060748275194e-5,Hassan Whiteside,2.7279113275188587e-5,DeAndre Jordan,2.798867228053209e-5,/players/g/goberru01.html,goberru01,/players/d/drumman01.html,drumman01,/players/p/plumlma01.html,plumlma01,/players/w/whiteha01.html,whiteha01,/players/j/jordade01.html,jordade01
Lindsay Allen,/wnba/players/a/allenli01w.html,allenli01w,2021,2021,WNBA,Cory Joseph,2022,0.0048632582672564,NBA,3,Kyle Lowry,0.0048642054825497,Xavier Moon,0.01084618549991334,Tyrese Haliburton,0.01451255792293882,Marcus Smart,0.01634703883381161,/players/j/josepco01.html,josepco01,/players/l/lowryky01.html,lowryky01,/players/m/moonxa01.html,moonxa01,/players/h/halibty01.html,halibty01,/players/s/smartma01.html,smartma01
Rebecca Allen,/wnba/players/a/allenre01w.html,allenre01w,2021,2021,WNBA,Matisse Thybulle,2022,7.750017794666626e-4,NBA,4,Robert Covington,9.381000771017912e-4,Gary Payton II,0.00840026145585047,Mike Muscala,0.00988639724324658,Zach Collins,0.0112487380776657,/players/t/thybuma01.html,thybuma01,/players/c/covinro01.html,covinro01,/players/p/paytoga02.html,paytoga02,/players/m/muscami01.html,muscami01,/players/c/colliza01.html,colliza01
Ariel Atkins,/wnba/players/a/atkinar01w.html,atkinar01w,2021,2021,WNBA,Cameron Payne,2022,0.10008475831525142,NBA,3,Jrue Holiday,0.1023832339282482,Shake Milton,0.15848321473490615,Mike Conley,0.15926895010122,Derrick Rose,0.16127462427074227,/players/p/payneca01.html,payneca01,/players/h/holidjr01.html,holidjr01,/players/m/miltosh01.html,miltosh01,/players/c/conlemi01.html,conlemi01,/players/r/rosede01.html,rosede01
Rachel Banham,/wnba/players/b/banhara01w.html,banhara01w,2021,2021,WNBA,Isaiah Thomas,2022,0.06069624915477168,NBA,7,Anfernee Simons,0.0701294337223719,Desmond Bane,0.07358987909792464,Bojan Bogdanović,0.08520734799027951,Brandon Williams,0.08807881399420653,/players/t/thomais02.html,thomais02,/players/s/simonan01.html,simonan01,/players/b/banede01.html,banede01,/players/b/bogdabo02.html,bogdabo02,/players/w/willibr03.html,willibr03
Monique Billings,/wnba/players/b/billimo01w.html,billimo01w,2021,2021,WNBA,Drew Eubanks,2022,0.06702297370637092,NBA,1,Mamadi Diakite,0.19969186063584565,Damian Jones,0.2338813727083415,Richaun Holmes,0.24832598485714089,Evan Mobley,0.2676254613606557,/players/e/eubandr01.html,eubandr01,/players/d/diakima01.html,diakima01,/players/j/jonesda03.html,jonesda03,/players/h/holmeri01.html,holmeri01,/players/m/mobleev01.html,mobleev01
Sue Bird,/wnba/players/b/birdsu01w.html,birdsu01w,2021,2021,WNBA,Raul Neto,2022,0.00907828602807282,NBA,3,D.J. Augustin,0.01184964776084077,Tre Jones,0.01343245813998903,Rajon Rondo,0.01384588145283495,Garrison Mathews,0.01540285071282624,/players/n/netora01.html,netora01,/players/a/augusdj01.html,augusdj01,/players/j/jonestr01.html,jonestr01,/players/r/rondora01.html,rondora01,/players/m/mathega01.html,mathega01
DeWanna Bonner,/wnba/players/b/bonnede01w.html,bonnede01w,2021,2021,WNBA,DeMarcus Cousins,2022,0.15006436716209862,NBA,5,Moritz Wagner,0.18583209854312188,Kevin Love,0.1968452272071463,Brook Lopez,0.23301407119496215,Pascal Siakam,0.2588235853393594,/players/c/couside01.html,couside01,/players/w/wagnemo01.html,wagnemo01,/players/l/loveke01.html,loveke01,/players/l/lopezbr01.html,lopezbr01,/players/s/siakapa01.html,siakapa01
Crystal Bradford,/wnba/players/b/bradfcr01w.html,bradfcr01w,2021,2021,WNBA,Jae Crowder,2022,0.10681379434840103,NBA,4,Chuma Okeke,0.11400178149512592,Jae'Sean Tate,0.11426819595013016,Josh Hart,0.13718163667441735,De'Anthony Melton,0.14571846044582612,/players/c/crowdja01.html,crowdja01,/players/o/okekech01.html,okekech01,/players/t/tateja01.html,tateja01,/players/h/hartjo01.html,hartjo01,/players/m/meltode01.html,meltode01
