player_season,cluster,uncertainty,player,pos,age,tm,season,g,gs,mp,fg,fga,fgpercent,x3p,x3pa,x3ppercent,x2p,x2pa,x2ppercent,ft,fta,ftpercent,orb,drb,trb,ast,stl,blk,tov,pf,pts,ortg,drtg,per,tspercent,x3par,ftr,orbpercent,drbpercent,trbpercent,astpercent,stlpercent,blkpercent,tovpercent,usgpercent,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp,distance,fga_2p,fga_0_3,fga_3_10,fga_10_16,fga_16_3p,fga_3p,fg_2p,fg_0_3,fg_3_10,fg_10_16,fg_16_3p,fg_3p,fg_2p_asst,fg_3p_asst,dunks_attempt,dunks_total,corner_3s_attempt,corner_3s_percent,heaves_attempts,heaves_makes,pg%,sg%,sf%,pf%,c%,oncourt,on_off,badpass,lostball,shoot_fouls_committed,off_fouls_committed,shoot_fouls_drawn,off_fouls_drawn,pga,and1,blkd,fg_tot,fga_tot,x3p_tot,x3pa_tot,x2p_tot,x2pa_tot,efgpercent,ft_tot,fta_tot,orb_tot,trb_tot,ast_tot,stl_tot,blk_tot,tov_tot,pf_tot,pts_tot,link
Giannis Antetokounmpo_2021,Primary Scorers/Initiators,0,Giannis Antetokounmpo,PF,26,MIL,2021,61,61,2013,14.6,25.7,0.569,1.6,5.2,0.303,13,20.5,0.636,9.3,13.6,0.685,2.3,13.4,15.7,8.3,1.7,1.7,4.8,3.9,40.1,122,107,29.2,0.633,0.201,0.528,5.3,28.9,17.5,28.7,1.7,3.2,13.2,32.5,6.9,3.3,10.2,0.244,6.2,2.8,9,5.6,9.5,0.799,0.451,0.193,0.094,0.062,0.201,0.636,0.837,0.401,0.359,0.324,0.303,0.428,0.299,0.169,178,0.045,0.3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/players/a/antetgi01.html
Bradley Beal_2021,Primary Scorers/Initiators,0,Bradley Beal,SG,27,WAS,2021,60,60,2147,14.4,29.7,0.485,2.8,8,0.349,11.6,21.7,0.535,8.8,9.9,0.889,1.5,4.5,6.1,5.7,1.5,0.5,4,3,40.3,114,115,22.7,0.593,0.27,0.332,3.6,10.4,7,21.3,1.5,0.9,10.6,34.1,4.2,1.7,5.9,0.132,4.8,-1.4,3.4,2.9,13.3,0.73,0.177,0.274,0.143,0.136,0.27,0.535,0.66,0.53,0.47,0.452,0.349,0.43,0.723,0.021,24,0.169,0.381,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/players/b/bealbr01.html
Jimmy Butler_2021,Primary Scorers/Initiators,0,Jimmy Butler,SF,31,MIA,2021,52,52,1745,10.4,21,0.497,0.7,2.9,0.245,9.7,18,0.538,10.2,11.8,0.863,2.7,7.5,10.2,10.5,3.1,0.5,3.1,2,31.8,127,108,26.5,0.607,0.139,0.565,6.3,17.1,11.8,35.1,3.1,1.1,10.6,26.6,6.6,2.7,9.3,0.255,5.4,2.3,7.7,4.3,9.3,0.861,0.327,0.289,0.166,0.079,0.139,0.538,0.722,0.441,0.426,0.362,0.245,0.358,0.68,0.053,39,0.333,0.265,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/players/b/butleji01.html
Stephen Curry_2021,Primary Scorers/Initiators,0,Stephen Curry,PG,32,GSW,2021,63,63,2152,14.4,29.8,0.482,7.4,17.5,0.421,7,12.3,0.569,7.9,8.6,0.916,0.6,6.9,7.5,7.9,1.7,0.2,4.6,2.6,44,119,111,26.3,0.655,0.587,0.289,1.5,15.4,8.5,30.5,1.7,0.3,12.2,34.8,6.5,2.5,9,0.201,8.3,0.4,8.7,5.8,19.3,0.413,0.148,0.136,0.06,0.069,0.587,0.569,0.663,0.532,0.549,0.457,0.421,0.411,0.588,0,0,0.072,0.397,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/players/c/curryst01.html
Anthony Davis_2021,Primary Scorers/Initiators,0,Anthony Davis,PF,27,LAL,2021,36,36,1162,12.6,25.7,0.491,1.1,4.2,0.26,11.5,21.5,0.536,6.6,9,0.738,2.6,9.4,12,4.6,1.9,2.5,3.1,2.5,32.9,110,104,22.1,0.556,0.163,0.349,6,21.5,13.8,16.4,1.9,4.5,9.5,29.2,1.3,2.4,3.7,0.152,2.6,2.2,4.8,2,11.7,0.837,0.243,0.204,0.232,0.158,0.163,0.536,0.785,0.536,0.415,0.33,0.26,0.575,0.962,0.098,54,0.16,0.625,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/players/d/davisan02.html
Kevin Durant_2021,Primary Scorers/Initiators,0,Kevin Durant,PF,32,BRK,2021,35,32,1157,13.5,25.1,0.537,3.5,7.9,0.45,10,17.3,0.577,8.8,9.9,0.882,0.5,9.8,10.3,8.1,1,1.9,5,2.9,39.3,122,112,26.4,0.666,0.313,0.395,1.3,21.3,11.8,27.5,1,3.4,14.5,31.2,3.7,1.2,5,0.206,6.4,0.8,7.2,2.7,14.9,0.687,0.149,0.154,0.254,0.129,0.313,0.577,0.833,0.473,0.536,0.487,0.45,0.477,0.647,0.066,38,0.074,0.643,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/players/d/duranke01.html
Joel Embiid_2021,Primary Scorers/Initiators,0,Joel Embiid,C,26,PHI,2021,51,51,1585,14,27.4,0.513,1.8,4.7,0.377,12.3,22.7,0.541,14.3,16.7,0.859,3.4,13,16.4,4.4,1.5,2.1,4.8,3.7,44.1,121,104,30.3,0.636,0.171,0.61,8,29.1,18.7,16.2,1.5,3.9,12.2,35.3,5.6,3.2,8.8,0.266,6.3,1.2,7.5,3.8,11.8,0.829,0.219,0.227,0.246,0.137,0.171,0.541,0.736,0.441,0.48,0.504,0.377,0.429,0.879,0.05,41,0.045,0.571,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/players/e/embiijo01.html
Robert Franks_2021,Reserves,0,Robert Franks,PF,24,ORL,2021,7,0,101,6.3,13.5,0.464,2.4,7.2,0.333,3.9,6.3,0.615,5.8,6.3,0.923,2.9,3.9,6.7,2.4,1.4,1.4,1,3.9,20.7,133,116,16.5,0.638,0.536,0.464,6,8.5,7.2,7.4,1.4,2.7,5.6,15.3,0.3,0.1,0.3,0.158,0.7,-0.8,-0.2,0,16.4,0.464,0.214,0.143,0.036,0.071,0.536,0.615,1,0.5,0,0,0.333,0.25,1,0,0,0.2,0.333,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/players/f/frankro01.html
Rudy Gobert_2021,Traditional Bigs,0,Rudy Gobert,C,28,UTA,2021,71,71,2187,8.7,12.9,0.675,0,0.1,0,8.7,12.8,0.68,5.2,8.3,0.623,5.3,16,21.4,2,0.9,4.2,2.6,3.6,22.6,131,101,23.5,0.683,0.007,0.646,12.2,33.5,23.3,6,0.9,7,13.7,17,6.1,5.2,11.3,0.248,2.1,2.8,4.9,3.8,2.7,0.993,0.77,0.209,0.005,0.009,0.007,0.68,0.798,0.281,0,0.2,0,0.767,NA,0.432,231,0.25,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/players/g/goberru01.html
Josh Hall_2021,Reserves,0,Josh Hall,SF,20,OKC,2021,21,1,336,4.2,14,0.303,0.6,5.2,0.108,3.7,8.8,0.419,3.1,6.2,0.5,0.8,7.5,8.3,4,0.6,0.1,3.5,5.2,12.2,73,117,1,0.363,0.374,0.444,1.8,16.6,9.1,11.6,0.6,0.3,17.4,18.1,-1.1,0.2,-0.9,-0.126,-9.7,-2.2,-11.9,-0.8,13.9,0.626,0.152,0.333,0.111,0.03,0.374,0.419,0.6,0.333,0.455,0.333,0.108,0.462,1,0.01,1,0.135,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/players/h/halljo01.html
