player,tm,season,pos,g,mp,gs,fga,x3pa,fta,trb,astpercent,stlpercent,blkpercent,distance,pred_class,prob1,prob2,prob3,prob4,prob5,prob6,prob7,player_season,uncertainty
Precious Achiuwa,TOR,2022,C,73,1725,28,0.11830807444040256,-0.5292506425381173,-0.16283119043923283,1.1958463588644046,-0.8454462617475536,-0.728049805887841,0.32178958547200637,-0.7100849678655923,6,1.2175733470594372e-9,1.0472168827284161e-5,8.170452483559934e-18,0.006957918462806222,9.74453145408195e-4,0.9920570262306097,1.2877477550910284e-7,Precious Achiuwa_2022,0.007942973769390349
Steven Adams,MEM,2022,C,76,1999,75,-1.6474128017031424,-1.7912108120937256,0.26509738727717425,2.3169284877715337,0.19572124553148648,0.12837656522017032,0.583711341088756,-2.2526182890864064,1,0.9999992472633723,2.832557909484256e-18,2.3593590457481115e-32,2.7320797435719253e-7,2.4280369709432017e-14,4.795286289198579e-7,1.3053763914851153e-28,Steven Adams_2022,7.527366276960379e-7
Bam Adebayo,MIA,2022,C,56,1825,56,0.6501517118330365,-1.7351236934468095,2.190775987001006,1.6442792104272566,0.35415977924786196,1.156088210549784,0.5182309021845686,-1.3862639579897846,1,0.8631372017186213,8.058676466798322e-19,4.162823178949603e-40,1.4093072666189303e-4,0.1367159992263375,2.7962007639612968e-6,3.07212761559051e-6,Bam Adebayo_2022,0.1368627982813787
LaMarcus Aldridge,BRK,2022,C,47,1050,12,0.8841629122857958,-1.2022960663011084,0.22230452950553367,0.7474135073015533,-0.9133484904831433,-1.5844761769958524,1.4349570468431914,-0.2663425055965906,5,5.498173482602108e-4,1.3548206024480938e-40,4.484284529195941e-28,5.374078501916589e-9,0.9994501771458174,1.318438431930397e-10,2.197310290794448e-17,LaMarcus Aldridge_2022,5.498228541825911e-4
Grayson Allen,MIL,2022,SG,66,1805,61,-0.39226181745652616,1.1253193575459026,-0.9331026303287654,-0.7473626645746189,-0.7662269948893657,-0.5567645316662388,-0.5294561202824292,1.1916684418586994,2,3.8403402155361407e-57,0.9744233296664423,0.005372073438000776,2.4729455429920463e-4,1.862559629717676e-9,0.017321506778411207,0.0026357937002869708,Grayson Allen_2022,0.025576670333557705
Jarrett Allen,CLE,2022,C,56,1809,56,-0.41353556295223143,-1.7070801341233517,0.9497831116234258,1.918321508604555,-0.6983247661537763,-0.5567645316662388,1.2385157301306295,-2.062442948113977,1,0.9297312358291273,8.29623218067998e-14,1.048042335954838e-32,1.594615763649871e-4,1.1836443662693735e-9,0.07010930141078064,1.5086755552332468e-21,Jarrett Allen_2022,0.07026876417087269
Jose Alvarado,NOP,2022,PG,54,834,1,0.0970343289446969,0.03162054393104197,-0.46238119484071766,-0.7473626645746189,1.4179613627720982,4.581793694981829,-0.6604169980908038,0.008355209141362369,4,5.140106059393121e-26,6.950106324737218e-10,0.22318370767376297,0.7768011863967305,1.7182880084982327e-14,5.695801747066728e-13,1.5105233908879913e-5,Jose Alvarado_2022,0.22319881360326954
Kyle Anderson,MEM,2022,PF,69,1484,11,-0.39226181745652616,-0.8096862357726969,-0.33400262152579563,0.7474135073015533,0.2070382836540845,1.6699440332145903,0.583711341088756,-0.6044320006586872,4,8.764883676739454e-7,2.8263633616348464e-4,1.6003851846984485e-7,0.9792533178872321,4.0183511185511934e-5,0.020390814988945613,3.201074958723954e-5,Kyle Anderson_2022,0.020746682112767867
Giannis Antetokounmpo,MIL,2022,PF,67,2204,67,2.1605876420281174,-0.3049021679504536,5.357447462102418,2.0179732533962995,1.961179192656815,0.12837656522017032,1.4349570468431914,-0.7523461547483542,5,8.03572369821861e-21,2.8886795856786935e-65,2.1274056430268604e-70,2.3688696930775854e-18,1,1.66109982899754e-27,1.2984270080146866e-19,Giannis Antetokounmpo_2022,0
Carmelo Anthony,LAL,2022,PF,69,1793,3,0.5012354933630991,1.1814064761928182,0.0511330984189707,-0.29892981301176724,-0.992567757341331,-0.3854792574446365,0.5182309021845686,1.1705378484173188,6,4.7532581469893555e-56,6.720725202364263e-6,0.0035637230793815855,0.014891098136490278,3.9843219738271434e-5,0.981491320627519,7.2942116680276945e-6,Carmelo Anthony_2022,0.01850867937248102
