player,tm,season,pos,g,mp,gs,fg,fga,fgpercent,x3p,x3pa,x3ppercent,x2p,x2pa,x2ppercent,ft,fta,ftpercent,orb,trb,ast,stl,blk,tov,pf,pts,per,tspercent,efgpercent,x3par,ftr,orbpercent,trbpercent,astpercent,stlpercent,blkpercent,tovpercent,usgpercent,ortg,drtg,ows,dws,ws,ws_40,distance,fga_2p,fga_0_3,fga_3_10,fga_10_16,fga_16_3p,fga_3p,fg_2p,fg_0_3,fg_3_10,fg_10_16,fg_16_3p,fg_3p,fg_2p_asst,fg_3p_asst,corner_3s_attempt,corner_3s_percent,oncourt,on_off,badpass,lostball,shoot_fouls_committed,off_fouls_committed,shoot_fouls_drawn,off_fouls_drawn,pga,and1,blkd,link
Natalie Achonwa,MIN,2022,F,9,137,0,8.9,13,0.686,0,0.4,0,8.9,12.7,0.706,3.4,4.5,0.75,3.4,13.8,5.2,1.5,0.4,3.7,5.6,21.2,20.3,0.708,0.686,0.029,0.343,7.8,15.7,18,1.5,0.7,19.9,16.3,122,105,0.5,0.1,0.6,0.174,5.7,0.971,0.486,0.314,0.029,0.143,0.029,0.706,0.941,0.455,0,0.6,0,0.917,NA,0,NA,13.7,18.3,6,0,7,2,6,3,36,0,1,/wnba/players/a/achonna01w.html
Julie Allemand,CHI,2022,G,10,141,0,2.9,6.1,0.471,1.4,3.2,0.444,1.4,2.9,0.5,1.8,1.8,1,0.7,5.4,12.5,0.7,0,3.6,3.9,8.9,12,0.651,0.588,0.529,0.294,1.8,6.2,33.7,0.7,0,34.2,9.4,121,105,0.3,0.1,0.5,0.134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/a/allemju01w.html
Rebecca Allen,NYL,2022,G,11,240,9,6.4,17.8,0.361,2.8,9.2,0.302,3.6,8.6,0.425,3.4,3.8,0.889,0.9,7.9,3.2,1.7,1.9,2.8,3.2,19,12,0.489,0.44,0.518,0.217,2,8.8,10.7,1.7,3,12.5,20.1,93,103,-0.1,0.3,0.2,0.037,17.7,0.482,0.096,0.157,0.072,0.157,0.518,0.425,0.625,0.308,0.667,0.308,0.302,0.824,1,0.14,0.167,-3.7,0.9,7,2,9,0,4,2,36,0,4,/wnba/players/a/allenre01w.html
Yvonne Anderson,CON,2022,G,11,101,0,6.1,13.2,0.462,2,5.1,0.4,4.1,8.1,0.5,3.5,3.5,1,1.5,4.6,6.1,1.5,1,5.6,7.1,17.7,10.8,0.602,0.538,0.385,0.269,3.7,5.5,18.2,1.5,1.9,27.4,17.6,100,102,0.1,0.1,0.2,0.084,14.3,0.615,0.192,0.231,0.154,0.038,0.385,0.5,0.6,0.333,0.75,0,0.4,0.625,1,0.4,0.75,0.4,-8.2,7,2,6,1,2,5,25,1,1,/wnba/players/a/anderyv01w.html
Kristine Anigwe,PHO,2022,F-C,10,65,1,3.9,7.8,0.5,0,0,NA,3.9,7.8,0.5,3.9,7.8,0.5,3.9,10.1,1.6,0.8,1.6,4.7,9.3,11.7,5.3,0.521,0.5,0,1,9.2,12.1,4.8,0.8,2.7,29.4,14.4,87,109,-0.1,0,0,-0.023,4.9,1,0.3,0.6,0.1,0,0,0.5,0.667,0.5,0,NA,NA,0.8,NA,NA,NA,-24.5,-22.6,2,2,5,1,3,NA,4,0,3,/wnba/players/a/anigwkr01w.html
Ariel Atkins,WAS,2022,G,24,718,24,9.1,21.5,0.422,3.6,9.4,0.377,5.5,12,0.458,4.4,5.1,0.857,1.8,5.7,4.3,2.5,0.4,2.5,4.9,26,17.8,0.549,0.505,0.439,0.236,4,6.5,14.9,2.5,0.6,9.4,23.2,109,98,1.7,1.3,3.1,0.172,17.3,0.561,0.081,0.145,0.166,0.169,0.439,0.458,0.792,0.442,0.408,0.36,0.377,0.526,0.898,0.215,0.464,10.5,20.1,24,4,20,5,23,15,134,7,12,/wnba/players/a/atkinar01w.html
Amy Atwell,LAS,2022,F,4,32,1,1.6,14,0.111,1.6,9.4,0.167,0,4.7,0,0,0,NA,1.6,3.1,3.1,0,0,3.1,1.6,4.7,-6.1,0.167,0.167,0.667,0,3.8,3.8,8.6,0,0,18.2,15.4,45,115,-0.2,0,-0.2,-0.255,20.5,0.333,0,0.111,0.222,0,0.667,0,NA,0,0,NA,0.167,NA,1,0,NA,-22.9,-18,1,1,0,0,0,NA,5,0,1,/wnba/players/a/atwelam01w.html
Shakira Austin,WAS,2022,C-F,24,511,20,8.2,14.8,0.552,0,0.1,0,8.2,14.7,0.556,4.1,6.6,0.615,4.1,15.1,1.9,1.7,2,3.4,5.5,20.4,17.4,0.576,0.552,0.007,0.448,9.1,17.1,6.5,1.7,3.6,16,18.7,105,94,0.8,1.3,2.1,0.162,6.3,0.993,0.331,0.441,0.145,0.076,0.007,0.556,0.875,0.344,0.524,0.455,0,0.738,NA,0,NA,9.3,8.6,13,11,22,7,36,5,46,8,9,/wnba/players/a/austish01w.html
Rachel Banham,MIN,2022,G,23,377,5,7.9,19.1,0.411,4.2,11.9,0.352,3.7,7.2,0.509,2.3,2.7,0.85,0.3,3.2,7.7,0.5,0.3,3.4,6.2,22.2,12.5,0.547,0.521,0.624,0.142,0.6,3.7,25.6,0.5,0.5,14.3,20.6,107,112,0.7,0,0.7,0.071,20.8,0.376,0.05,0.043,0.128,0.156,0.624,0.509,0.571,0.5,0.5,0.5,0.352,0.296,0.742,0.114,0.3,5.3,12.2,21,2,21,1,7,4,126,0,3,/wnba/players/b/banhara01w.html
Kierstan Bell,LVA,2022,G,11,77,1,3.2,12.1,0.263,1.3,8.9,0.143,1.9,3.2,0.6,1.3,1.3,1,1.3,5.1,2.6,0.6,1.3,1.9,2.6,8.9,3.5,0.352,0.316,0.737,0.105,2.9,5.7,7.1,0.6,2.3,13.1,13.2,76,109,-0.1,0,-0.1,-0.064,19.2,0.263,0.158,0.053,0.053,0,0.737,0.6,0.667,1,0,NA,0.143,0.667,1,0.071,1,-19,-26.6,1,1,3,0,1,NA,10,0,0,/wnba/players/b/bellki01w.html
