player,tm,season,pos,g,mp,gs,fg,fga,fgpercent,x3p,x3pa,x3ppercent,x2p,x2pa,x2ppercent,ft,fta,ftpercent,orb,trb,ast,stl,blk,tov,pf,pts,per,tspercent,efgpercent,x3par,ftr,orbpercent,trbpercent,astpercent,stlpercent,blkpercent,tovpercent,usgpercent,ortg,drtg,ows,dws,ws,ws_40,distance,fga_2p,fga_0_3,fga_3_10,fga_10_16,fga_16_3p,fga_3p,fg_2p,fg_0_3,fg_3_10,fg_10_16,fg_16_3p,fg_3p,fg_2p_asst,fg_3p_asst,corner_3s_attempt,corner_3s_percent,oncourt,on_off,badpass,lostball,shoot_fouls_committed,off_fouls_committed,shoot_fouls_drawn,off_fouls_drawn,pga,and1,blkd,fg_tot,fga_tot,x3p_tot,x3pa_tot,x2p_tot,x2pa_tot,ft_tot,fta_tot,orb_tot,trb_tot,ast_tot,stl_tot,blk_tot,tov_tot,pf_tot,pts_tot,link,mpg
Natalie Achonwa,MIN,2022,F,9,137,0,8.9,13,0.686,0,0.4,0,8.9,12.7,0.706,3.4,4.5,0.75,3.4,13.8,5.2,1.5,0.4,3.7,5.6,21.2,20.3,0.708,0.686,0.029,0.343,7.8,15.7,18,1.5,0.7,19.9,16.3,122,105,0.5,0.1,0.6,0.174,5.7,0.971,0.486,0.314,0.029,0.143,0.029,0.706,0.941,0.455,0,0.6,0,0.917,NA,0,NA,13.7,18.3,6,0,7,2,6,3,36,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/a/achonna01w.html,15.222222222222221
Julie Allemand,CHI,2022,G,10,141,0,2.9,6.1,0.471,1.4,3.2,0.444,1.4,2.9,0.5,1.8,1.8,1,0.7,5.4,12.5,0.7,0,3.6,3.9,8.9,12,0.651,0.588,0.529,0.294,1.8,6.2,33.7,0.7,0,34.2,9.4,121,105,0.3,0.1,0.5,0.134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/a/allemju01w.html,14.1
Rebecca Allen,NYL,2022,G,11,240,9,6.4,17.8,0.361,2.8,9.2,0.302,3.6,8.6,0.425,3.4,3.8,0.889,0.9,7.9,3.2,1.7,1.9,2.8,3.2,19,12,0.489,0.44,0.518,0.217,2,8.8,10.7,1.7,3,12.5,20.1,93,103,-0.1,0.3,0.2,0.037,17.7,0.482,0.096,0.157,0.072,0.157,0.518,0.425,0.625,0.308,0.667,0.308,0.302,0.824,1,0.14,0.167,-3.7,0.9,7,2,9,0,4,2,36,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/a/allenre01w.html,21.818181818181817
Ariel Atkins,WAS,2022,G,24,718,24,9.1,21.5,0.422,3.6,9.4,0.377,5.5,12,0.458,4.4,5.1,0.857,1.8,5.7,4.3,2.5,0.4,2.5,4.9,26,17.8,0.549,0.505,0.439,0.236,4,6.5,14.9,2.5,0.6,9.4,23.2,109,98,1.7,1.3,3.1,0.172,17.3,0.561,0.081,0.145,0.166,0.169,0.439,0.458,0.792,0.442,0.408,0.36,0.377,0.526,0.898,0.215,0.464,10.5,20.1,24,4,20,5,23,15,134,7,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/a/atkinar01w.html,29.916666666666668
Shakira Austin,WAS,2022,C-F,24,511,20,8.2,14.8,0.552,0,0.1,0,8.2,14.7,0.556,4.1,6.6,0.615,4.1,15.1,1.9,1.7,2,3.4,5.5,20.4,17.4,0.576,0.552,0.007,0.448,9.1,17.1,6.5,1.7,3.6,16,18.7,105,94,0.8,1.3,2.1,0.162,6.3,0.993,0.331,0.441,0.145,0.076,0.007,0.556,0.875,0.344,0.524,0.455,0,0.738,NA,0,NA,9.3,8.6,13,11,22,7,36,5,46,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/a/austish01w.html,21.291666666666668
Rachel Banham,MIN,2022,G,23,377,5,7.9,19.1,0.411,4.2,11.9,0.352,3.7,7.2,0.509,2.3,2.7,0.85,0.3,3.2,7.7,0.5,0.3,3.4,6.2,22.2,12.5,0.547,0.521,0.624,0.142,0.6,3.7,25.6,0.5,0.5,14.3,20.6,107,112,0.7,0,0.7,0.071,20.8,0.376,0.05,0.043,0.128,0.156,0.624,0.509,0.571,0.5,0.5,0.5,0.352,0.296,0.742,0.114,0.3,5.3,12.2,21,2,21,1,7,4,126,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/b/banhara01w.html,16.391304347826086
Monique Billings,ATL,2022,F,19,341,7,6.6,14.9,0.441,0,0.1,0,6.6,14.8,0.446,4.4,5.6,0.789,5.1,18,2.9,2.8,1.2,3.8,7.2,17.6,15.8,0.505,0.441,0.01,0.373,12,20.9,10.2,2.8,2.3,18,18.7,99,93,0.2,0.9,1.2,0.135,7.2,0.99,0.392,0.294,0.186,0.118,0.01,0.446,0.6,0.4,0.368,0.167,0,0.6,NA,0,NA,1.1,5.3,11,4,29,4,20,3,46,4,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/b/billimo01w.html,17.94736842105263
Sue Bird,SEA,2022,G,18,469,18,5.5,14.9,0.372,4.1,10.4,0.396,1.4,4.4,0.317,1.1,1.1,1,0.1,3.6,11.5,2.4,0.3,4.4,1.3,16.3,14.3,0.53,0.511,0.701,0.073,0.2,4,37,2.4,0.6,22.5,17.8,100,100,0.4,0.8,1.1,0.095,21.5,0.299,0.066,0.015,0.073,0.146,0.701,0.317,0.333,0.5,0.3,0.3,0.396,0.615,0.921,0.125,0.583,7.8,4.4,35,4,1,0,2,7,242,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/b/birdsu01w.html,26.055555555555557
DeWanna Bonner,CON,2022,F-G,19,585,19,7.7,18.6,0.413,2.5,7.7,0.33,5.2,10.9,0.472,4.3,5.7,0.754,1.1,6.8,4.7,2,0.7,2.6,2.9,22.2,15.6,0.526,0.481,0.413,0.305,2.6,8.2,14.9,2,1.3,11,20.5,108,100,1.1,0.9,2.1,0.141,16,0.587,0.174,0.108,0.174,0.131,0.413,0.472,0.73,0.304,0.405,0.357,0.33,0.644,0.862,0.341,0.433,4.5,-9.8,17,6,14,4,29,5,120,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/b/bonnede01w.html,30.789473684210527
Lexie Brown,LAS,2022,G,21,578,13,5.2,11.5,0.451,3.4,7.3,0.459,1.8,4.1,0.438,0.1,0.3,0.333,0.5,4.9,4.2,1.9,0.3,2.1,2.7,13.8,11.5,0.596,0.598,0.639,0.023,1.2,6,12.9,1.9,0.5,15.2,12.2,107,109,0.7,0.2,0.9,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/b/brownle02w.html,27.523809523809526
