player,team,pos,g,mp,g_2,gs,mp_2,fg,fga,fgpercent,x3p,x3pa,x3ppercent,x2p,x2pa,x2ppercent,ft,fta,ftpercent,orb,trb,ast,stl,blk,tov,pf,pts,link,season
Natalie Achonwa,IND,F,34,883,34,34,883,137,260,0.527,0,0,NA,137,260,0.527,76,95,0.8,86,234,46,29,23,38,106,350,/wnba/players/a/achonna01w.html,2018
Kayla Alexander,IND,C,30,257,30,0,257,33,61,0.541,0,0,NA,33,61,0.541,14,17,0.824,21,65,5,4,10,19,37,80,/wnba/players/a/alexaka01w.html,2018
Lindsay Allen,LVA,G,24,358,24,6,358,28,73,0.384,1,16,0.063,27,57,0.474,17,24,0.708,3,30,69,15,0,21,17,74,/wnba/players/a/allenli01w.html,2018
Rebecca Allen,NYL,G,28,291,28,0,291,38,101,0.376,10,38,0.263,28,63,0.444,21,25,0.84,13,48,8,9,11,16,36,107,/wnba/players/a/allenre01w.html,2018
Ariel Atkins,WAS,G,29,652,29,24,652,120,278,0.432,45,126,0.357,75,152,0.493,42,51,0.824,28,69,60,39,10,39,73,327,/wnba/players/a/atkinar01w.html,2018
Seimone Augustus,MIN,G-F,33,864,33,33,864,156,334,0.467,21,66,0.318,135,268,0.504,24,34,0.706,5,60,85,14,8,40,32,357,/wnba/players/a/augusse01w.html,2018
Rachel Banham,CON,G,33,424,33,5,424,55,133,0.414,30,81,0.37,25,52,0.481,33,38,0.868,6,29,48,15,3,18,55,173,/wnba/players/b/banhara01w.html,2018
Alana Beard,LAS,G-F,30,766,30,30,766,51,130,0.392,2,5,0.4,49,125,0.392,17,21,0.81,36,98,50,44,6,20,73,121,/wnba/players/b/beardal01w.html,2018
Hind Ben Abdelkader,IND,G,14,142,14,0,142,8,43,0.186,6,29,0.207,2,14,0.143,7,8,0.875,1,14,11,4,1,13,10,29,/wnba/players/b/benahi01w.html,2018
Monique Billings,ATL,F,32,353,32,0,353,41,93,0.441,0,0,NA,41,93,0.441,24,32,0.75,37,88,12,14,1,14,37,106,/wnba/players/b/billimo01w.html,2018
Sue Bird,SEA,G,31,824,31,31,824,115,247,0.466,60,134,0.448,55,113,0.487,24,29,0.828,5,54,221,35,2,59,38,314,/wnba/players/b/birdsu01w.html,2018
Kelsey Bone,LVA,C,32,344,32,10,344,40,80,0.5,0,0,NA,40,80,0.5,9,18,0.5,19,70,38,3,2,30,61,89,/wnba/players/b/boneke01w.html,2018
DeWanna Bonner,PHO,F-G,34,1120,34,34,1120,208,460,0.452,55,176,0.313,153,284,0.539,117,135,0.867,47,246,108,43,14,55,62,588,/wnba/players/b/bonnede01w.html,2018
Brittany Boyd,NYL,G,30,613,30,14,613,70,169,0.414,10,27,0.37,60,142,0.423,41,53,0.774,10,117,159,37,3,81,72,191,/wnba/players/b/boydbr01w.html,2018
Imani McGee-Stafford,ATL,C,29,305,29,2,305,39,86,0.453,0,0,NA,39,86,0.453,7,15,0.467,39,99,18,13,11,23,44,85,/wnba/players/b/boyetim01w.html,2018
Jessica Breland,ATL,F,34,899,34,34,899,124,290,0.428,0,0,NA,124,290,0.428,33,44,0.75,58,269,68,39,65,57,86,281,/wnba/players/b/brelaje01w.html,2018
Lexie Brown,CON,G,22,124,22,0,124,12,44,0.273,9,29,0.31,3,15,0.2,4,7,0.571,1,17,12,6,1,10,10,37,/wnba/players/b/brownle02w.html,2018
Rebekkah Brunson,MIN,F,25,691,25,25,691,64,158,0.405,18,48,0.375,46,110,0.418,33,49,0.673,37,169,60,20,13,37,60,179,/wnba/players/b/brunsre01w.html,2018
Liz Cambage,DAL,C,32,945,32,32,945,278,472,0.589,12,37,0.324,266,435,0.611,169,229,0.738,75,309,73,15,54,89,89,737,/wnba/players/c/cambael01w.html,2018
