player,tm,pos,g,mp,g_2,mp_2,per,tspercent,efgpercent,x3par,ftr,orbpercent,trbpercent,astpercent,stlpercent,blkpercent,tovpercent,usgpercent,ortg,drtg,ows,dws,ws,ws_40,link,season
Anita Maxwell,CLE,F,9,63,9,63,10.6,0.333,0.32,0,0.32,4.3,12.3,24.8,3.5,0,17.4,25.6,72,89,-0.2,0.1,-0.1,-0.036,/wnba/players/m/maxwean01w.html,1997
Tammi Reiss,UTA,G,28,831,28,831,9.6,0.423,0.377,0.437,0.238,3.9,5.3,20.8,1.5,0.2,19.3,17,87,105,0.2,-0.7,-0.5,-0.024,/wnba/players/r/reissta01w.html,1997
Catarina Pollini,HOU,F,13,94,13,94,4.6,0.403,0.364,0,0.545,4.1,8.4,10,2.4,0.9,22.7,17.6,77,92,-0.1,0.1,0,0.005,/wnba/players/p/pollica01w.html,1997
Bridget Pettis,PHO,G,28,842,28,842,17,0.479,0.398,0.419,0.338,5,7.8,20.4,3.1,1.1,18.2,24,94,88,1.5,1.7,3.2,0.151,/wnba/players/p/pettibr01w.html,1997
Kim Perrot,HOU,G,28,692,28,692,14.1,0.452,0.451,0.611,0.228,3.4,7.2,23.8,5.6,0.2,26.7,16.5,87,87,0.2,1.5,1.7,0.098,/wnba/players/p/perroki01w.html,1997
Jasmina Perazic-Gipe,NYL,G-F,9,47,9,47,8.2,0.385,0.385,0.231,0,5.2,14.4,16.5,3.4,0,35,19.2,62,83,-0.2,0.1,-0.1,-0.043,/wnba/players/p/perazja01w.html,1997
Wendy Palmer,UTA,F,28,936,28,936,18.7,0.446,0.388,0.114,0.412,9,13.9,12.2,2.7,0.5,12.5,27,93,97,1.6,0.4,2,0.083,/wnba/players/p/palmewe01w.html,1997
Tina Nicholson,CLE,G,24,273,24,273,7.8,0.519,0.511,0.545,0.114,1,2.4,26.9,2.2,0.3,37.7,12.7,84,97,0,0.1,0.1,0.01,/wnba/players/n/nichoti01w.html,1997
Eva Nemcova,CLE,F,28,944,28,944,18.6,0.584,0.536,0.291,0.284,3.3,7.5,14.4,2.3,0.7,19.2,20.1,104,94,2.9,0.9,3.8,0.161,/wnba/players/n/nemcoev01w.html,1997
Judy Mosley-McAfee,SAC,F,13,265,13,265,8.4,0.501,0.44,0,0.22,11,11.2,7,1.6,0.6,30.4,13.3,86,103,0,-0.1,-0.1,-0.019,/wnba/players/m/mosleju01w.html,1997
Yolanda Moore,HOU,F-C,13,93,13,93,0.7,0.316,0.25,0,0.6,8.4,9.2,1.9,0.6,0,21.7,16.3,65,98,-0.2,0,-0.2,-0.091,/wnba/players/m/mooreyo01w.html,1997
Penny Moore,CHA,F,28,539,28,539,7.4,0.391,0.374,0.157,0.195,3.6,8.3,9.7,1.6,1.7,20.3,19.1,74,93,-0.9,0.6,-0.3,-0.025,/wnba/players/m/moorepe01w.html,1997
Pamela McGee,SAC,F-C,27,691,27,691,14.5,0.525,0.464,0.032,0.505,9.5,10.9,6.1,2.1,1.6,21.2,22.3,94,101,1.2,-0.1,1,0.06,/wnba/players/m/mcgeepa01w.html,1997
Laure Savasta,SAC,G,14,157,14,157,-0.5,0.337,0.289,0.444,0.2,0.8,2.4,13.8,1.4,0.5,30,19.9,61,106,-0.6,-0.2,-0.8,-0.204,/wnba/players/s/savasla01w.html,1997
Rhonda Mapp,CHA,C,28,710,28,710,20.9,0.561,0.5,0.033,0.434,9.5,13.5,19.1,1.6,1.4,19,24,104,91,2.7,1,3.7,0.209,/wnba/players/m/mapprh01w.html,1997
Sharon Manning,CHA,F-C,28,438,28,438,15.5,0.466,0.464,0,0.4,12.3,13.9,5.8,3.1,1,16.5,19.1,90,89,0.3,0.8,1.1,0.102,/wnba/players/m/mannish01w.html,1997
Mwadi Mabika,LAS,G,21,325,21,325,14.2,0.43,0.415,0.279,0.176,8.7,10,12.8,3.7,1.4,15.6,23.7,86,90,0.1,0.5,0.6,0.078,/wnba/players/m/mabikmw01w.html,1997
