player,tm,pos,g,mp,mp2,oncourt,on_off,badpass,lostball,shoot_fouls_committed,off_fouls_committed,shoot_fouls_drawn,off_fouls_drawn,pga,and1,blkd,link,season
Monique Billings,ATL,F,32,353,353,1.8,-2.5,3,2,17,5,16,NA,27,4,10,/wnba/players/b/billimo01w.html,2018
Imani McGee-Stafford,ATL,C,29,305,305,-4,-9.9,6,4,22,10,7,NA,41,1,5,/wnba/players/b/boyetim01w.html,2018
Jessica Breland,ATL,F,34,899,899,5.2,4.6,32,15,55,1,22,NA,150,4,18,/wnba/players/b/brelaje01w.html,2018
Damiris Dantas,ATL,F,19,255,255,-8.3,-14.7,2,2,12,5,5,NA,36,2,6,/wnba/players/d/dantada01w.html,2018
Blake Dietrick,ATL,G,26,186,186,-10.8,-16.7,6,2,10,2,1,NA,25,0,5,/wnba/players/d/dietrbl01w.html,2018
Adaora Elonu,ATL,F,1,1,1,150,146.4,0,0,0,0,0,NA,0,0,0,/wnba/players/e/elonuad01w.html,2018
Tiffany Hayes,ATL,G,31,897,897,9,15.8,20,21,24,5,64,NA,195,18,14,/wnba/players/h/hayesti01w.html,2018
Angel McCoughtry,ATL,F-G,29,799,799,4.4,1.8,36,17,23,15,59,NA,190,11,20,/wnba/players/m/mccouan01w.html,2018
Renee Montgomery,ATL,G,34,935,935,7.2,11.4,38,10,12,4,17,NA,269,4,11,/wnba/players/m/montgre01w.html,2018
Alexis Prince,ATL,F,2,6,6,60,56.5,0,0,1,0,0,NA,0,0,0,/wnba/players/p/princal01w.html,2018
Brittney Sykes,ATL,G,29,600,600,7.2,6.2,19,9,21,2,37,NA,156,4,11,/wnba/players/s/sykesbr01w.html,2018
Elizabeth Williams,ATL,C-F,33,885,885,7.7,11.7,11,18,45,6,48,NA,110,5,34,/wnba/players/w/williel01w.html,2018
Alaina Coates,CHI,C,32,364,364,-3.7,5.9,4,3,39,6,19,NA,31,6,12,/wnba/players/c/coateal01w.html,2018
Kahleah Copper,CHI,G-F,33,524,524,-13.2,-8.2,19,10,14,3,25,NA,49,6,16,/wnba/players/c/coppeka01w.html,2018
Diamond DeShields,CHI,G,34,967,967,-5,10.7,47,16,28,2,62,NA,162,11,25,/wnba/players/d/deshidi01w.html,2018
Stefanie Dolson,CHI,C,27,745,745,-3.2,10.8,24,9,29,10,9,NA,186,7,8,/wnba/players/d/dolsost01w.html,2018
Jamierra Faulkner,CHI,G,17,360,360,-7.8,0.4,23,8,10,0,12,NA,150,2,8,/wnba/players/f/faulkja01w.html,2018
Linnae Harper,CHI,G,24,146,146,-14.3,-6.9,7,3,6,0,3,NA,57,2,4,/wnba/players/h/harpeli01w.html,2018
Amber Harris,CHI,F,1,2,2,150,158.2,0,0,0,0,0,NA,0,0,0,/wnba/players/h/harriam01w.html,2018
Chelsea Hopkins,CHI,G,4,58,58,-13.7,-5.8,6,1,1,0,1,NA,18,1,0,/wnba/players/h/hopkich01w.html,2018
Alex Montgomery,CHI,G-F,19,122,122,-10.4,-2.4,4,0,9,1,2,NA,20,0,3,/wnba/players/m/montgal01w.html,2018
Astou Ndour,CHI,C-F,22,255,255,-11,-3.5,2,3,21,3,11,NA,18,0,6,/wnba/players/n/ndouras01w.html,2018
Cheyenne Parker,CHI,F,34,670,670,-7.5,1.2,12,12,52,11,47,NA,56,4,31,/wnba/players/p/parkech01w.html,2018
Allie Quigley,CHI,G,32,951,951,-7.7,1.3,38,16,34,4,21,NA,177,4,7,/wnba/players/q/quiglal01w.html,2018
