player,team,pos,g,mp,g_2,gs,mp_2,fg,fga,fgpercent,x3p,x3pa,x3ppercent,x2p,x2pa,x2ppercent,ft,fta,ftpercent,orb,trb,ast,stl,blk,tov,pf,pts,link,season
Natalie Achonwa,IND,F,34,883,34,34,26,4,7.6,0.527,0,0,NA,4,7.6,0.527,2.2,2.8,0.8,2.5,6.9,1.4,0.9,0.7,1.1,3.1,10.3,/wnba/players/a/achonna01w.html,2018
Kayla Alexander,IND,C,30,257,30,0,8.6,1.1,2,0.541,0,0,NA,1.1,2,0.541,0.5,0.6,0.824,0.7,2.2,0.2,0.1,0.3,0.6,1.2,2.7,/wnba/players/a/alexaka01w.html,2018
Lindsay Allen,LVA,G,24,358,24,6,14.9,1.2,3,0.384,0,0.7,0.063,1.1,2.4,0.474,0.7,1,0.708,0.1,1.3,2.9,0.6,0,0.9,0.7,3.1,/wnba/players/a/allenli01w.html,2018
Rebecca Allen,NYL,G,28,291,28,0,10.4,1.4,3.6,0.376,0.4,1.4,0.263,1,2.3,0.444,0.8,0.9,0.84,0.5,1.7,0.3,0.3,0.4,0.6,1.3,3.8,/wnba/players/a/allenre01w.html,2018
Ariel Atkins,WAS,G,29,652,29,24,22.5,4.1,9.6,0.432,1.6,4.3,0.357,2.6,5.2,0.493,1.4,1.8,0.824,1,2.4,2.1,1.3,0.3,1.3,2.5,11.3,/wnba/players/a/atkinar01w.html,2018
Seimone Augustus,MIN,G-F,33,864,33,33,26.2,4.7,10.1,0.467,0.6,2,0.318,4.1,8.1,0.504,0.7,1,0.706,0.2,1.8,2.6,0.4,0.2,1.2,1,10.8,/wnba/players/a/augusse01w.html,2018
Rachel Banham,CON,G,33,424,33,5,12.8,1.7,4,0.414,0.9,2.5,0.37,0.8,1.6,0.481,1,1.2,0.868,0.2,0.9,1.5,0.5,0.1,0.5,1.7,5.2,/wnba/players/b/banhara01w.html,2018
Alana Beard,LAS,G-F,30,766,30,30,25.5,1.7,4.3,0.392,0.1,0.2,0.4,1.6,4.2,0.392,0.6,0.7,0.81,1.2,3.3,1.7,1.5,0.2,0.7,2.4,4,/wnba/players/b/beardal01w.html,2018
Hind Ben Abdelkader,IND,G,14,142,14,0,10.1,0.6,3.1,0.186,0.4,2.1,0.207,0.1,1,0.143,0.5,0.6,0.875,0.1,1,0.8,0.3,0.1,0.9,0.7,2.1,/wnba/players/b/benahi01w.html,2018
Monique Billings,ATL,F,32,353,32,0,11,1.3,2.9,0.441,0,0,NA,1.3,2.9,0.441,0.8,1,0.75,1.2,2.8,0.4,0.4,0,0.4,1.2,3.3,/wnba/players/b/billimo01w.html,2018
Sue Bird,SEA,G,31,824,31,31,26.6,3.7,8,0.466,1.9,4.3,0.448,1.8,3.6,0.487,0.8,0.9,0.828,0.2,1.7,7.1,1.1,0.1,1.9,1.2,10.1,/wnba/players/b/birdsu01w.html,2018
Kelsey Bone,LVA,C,32,344,32,10,10.8,1.3,2.5,0.5,0,0,NA,1.3,2.5,0.5,0.3,0.6,0.5,0.6,2.2,1.2,0.1,0.1,0.9,1.9,2.8,/wnba/players/b/boneke01w.html,2018
DeWanna Bonner,PHO,F-G,34,1120,34,34,32.9,6.1,13.5,0.452,1.6,5.2,0.313,4.5,8.4,0.539,3.4,4,0.867,1.4,7.2,3.2,1.3,0.4,1.6,1.8,17.3,/wnba/players/b/bonnede01w.html,2018
Brittany Boyd,NYL,G,30,613,30,14,20.4,2.3,5.6,0.414,0.3,0.9,0.37,2,4.7,0.423,1.4,1.8,0.774,0.3,3.9,5.3,1.2,0.1,2.7,2.4,6.4,/wnba/players/b/boydbr01w.html,2018
Imani McGee-Stafford,ATL,C,29,305,29,2,10.5,1.3,3,0.453,0,0,NA,1.3,3,0.453,0.2,0.5,0.467,1.3,3.4,0.6,0.4,0.4,0.8,1.5,2.9,/wnba/players/b/boyetim01w.html,2018
Jessica Breland,ATL,F,34,899,34,34,26.4,3.6,8.5,0.428,0,0,NA,3.6,8.5,0.428,1,1.3,0.75,1.7,7.9,2,1.1,1.9,1.7,2.5,8.3,/wnba/players/b/brelaje01w.html,2018
Lexie Brown,CON,G,22,124,22,0,5.6,0.5,2,0.273,0.4,1.3,0.31,0.1,0.7,0.2,0.2,0.3,0.571,0,0.8,0.5,0.3,0,0.5,0.5,1.7,/wnba/players/b/brownle02w.html,2018
Rebekkah Brunson,MIN,F,25,691,25,25,27.6,2.6,6.3,0.405,0.7,1.9,0.375,1.8,4.4,0.418,1.3,2,0.673,1.5,6.8,2.4,0.8,0.5,1.5,2.4,7.2,/wnba/players/b/brunsre01w.html,2018
Liz Cambage,DAL,C,32,945,32,32,29.5,8.7,14.8,0.589,0.4,1.2,0.324,8.3,13.6,0.611,5.3,7.2,0.738,2.3,9.7,2.3,0.5,1.7,2.8,2.8,23,/wnba/players/c/cambael01w.html,2018
Jordin Canada,SEA,G,33,543,33,2,16.5,2,5.5,0.357,0.3,1.7,0.182,1.7,3.8,0.433,1.5,2,0.738,0.3,1.5,3.3,0.9,0,1.7,1.2,5.7,/wnba/players/c/canadjo01w.html,2018
Essence Carson,LAS,G,34,786,34,15,23.1,3,6.8,0.435,1.1,3.2,0.361,1.8,3.6,0.5,0.4,0.5,0.938,0.3,2.6,0.9,0.9,0.4,0.6,1.5,7.5,/wnba/players/c/carsoes01w.html,2018
Tina Charles,NYL,C,33,1088,33,33,33,8,16.8,0.473,0.9,2.9,0.326,7,14,0.503,2.8,3.7,0.77,1.9,7,2.7,0.7,0.6,2.8,2.5,19.7,/wnba/players/c/charlti01w.html,2018
Saniya Chong,DAL,G,5,43,5,0,8.6,0.2,1.2,0.167,0,0.2,0,0.2,1,0.2,0.4,0.6,0.667,0.2,0.8,1,0.6,0,0.2,0.6,0.8,/wnba/players/c/chongsa01w.html,2018
Karima Christmas-Kelly,DAL,F-G,6,167,6,6,27.8,2.2,4.8,0.448,0.7,1.5,0.444,1.5,3.3,0.45,4.3,5.3,0.813,1.8,5.5,1.5,0.3,0.3,1.7,2.3,9.3,/wnba/players/c/chriska02w.html,2018
Alysha Clark,SEA,F,31,813,31,30,26.2,2.7,5.6,0.48,0.9,2.4,0.392,1.7,3.2,0.545,1.1,1.3,0.846,1,3.5,1.9,1,0.1,1.2,2.3,7.4,/wnba/players/c/clarkal01w.html,2018
Natasha Cloud,WAS,G,27,715,27,22,26.5,3.3,7.6,0.436,1.2,3.1,0.386,2.1,4.5,0.471,0.8,1,0.778,0.2,3.2,4.6,0.7,0.1,1.7,2,8.6,/wnba/players/c/cloudna01w.html,2018
Alaina Coates,CHI,C,32,364,32,0,11.4,1.3,2.3,0.568,0,0,NA,1.3,2.3,0.568,0.8,1.3,0.625,1.2,3.2,0.4,0.2,0.2,0.5,1.8,3.4,/wnba/players/c/coateal01w.html,2018
Nia Coffey,LVA,F,28,386,28,10,13.8,1.9,4.9,0.38,0.1,0.2,0.4,1.8,4.7,0.379,1.5,2.4,0.618,0.8,2.4,0.6,0.3,0.2,1.4,1.7,5.3,/wnba/players/c/coffeni01w.html,2018
